Category,Item,Item Code,Brand,Available Stock,Reorder Level,Price,Total Value,Stock Status
Circuit breaker  NXB 63A  AC 2P,Circuit breaker  NXB 63A  AC 2P,CHT-MCB-63A-2P,CHINT,0,10,6,0,Stock Out
Circuit breaker  100A 4P AC,Circuit breaker  100A 4P AC,CHT-MCB-100A-4P,CHINT,0,10,10,0,Stock Out
"Circuit breaker 125A 4P , AC","Circuit breaker 125A 4P , AC",CHT-MCB-125A-4P,CHINT,0,10,0,0,Stock Out
Circuit breaker 40A 3P AC,Circuit breaker 40A 3P AC,CHT-MCB-40A-3P,,0,10,8,0,Stock Out
Circuit breaker  63A 4P AC,Circuit breaker  63A 4P AC,NTP-MCB-63A-4P,Ntop,0,10,9,0,Stock Out
Circuit breaker Legrand AC 32A 1Pole,Circuit breaker Legrand AC 32A 1Pole,LEG-MCB-32A-1P,LEGRAND,0,10,2.8,0,Stock Out
Circuit breaker 100A,Circuit breaker 100A,SPW-MCB-100A-AC,SAIPWELI,0,10,5,0,Stock Out
"Circuit breaker 16A Breakers AC, 1P","Circuit breaker 16A Breakers AC, 1P",ECS-MCB-16A-1P,ECS,0,10,2.7,0,Stock Out
"Circuit breaker 10A AC, 1P","Circuit breaker 10A AC, 1P",ECS-MCB-10A-1P,ECS,0,10,3,0,Stock Out
Circuit breaker 10A 3P AC,Circuit breaker 10A 3P AC,ECS-MCB-10A-3P,ECS,0,10,6,0,Stock Out
Circuit breaker 40A AC 4P,Circuit breaker 40A AC 4P,ECS-MCB-40A-4P,ECS,0,10,12.5,0,Stock Out
Circuit breaker  2A AC 1P,Circuit breaker  2A AC 1P,SCH-MCB-2A-1P,SCHNEIDER,0,10,2.5,0,Stock Out
Circuit breaker  32A AC 2P,Circuit breaker  32A AC 2P,SCH-MCB-32A-2P,SCHNEIDER,0,10,4.85,0,Stock Out
Circuit breaker  10A 1P AC,Circuit breaker  10A 1P AC,SCH-MCB-10A-1P,SCHNEIDER,0,10,2.5,0,Stock Out
Circuit breaker 3A 1P AC,Circuit breaker 3A 1P AC,SCH-MCB-3A-1P,SCHNEIDER,0,10,2.5,0,Stock Out
Circuit breaker  63A 1P AC,Circuit breaker  63A 1P AC,SCH-MCB-63A-1P,SCHNEIDER,0,10,3,0,Stock Out
Circuit breaker  32A 1P AC,Circuit breaker  32A 1P AC,SCH-MCB-32A-1P,SCHNEIDER,0,10,2.8,0,Stock Out
"Circuit breaker 40A 4P, AC","Circuit breaker 40A 4P, AC",SCH-MCB-40A-4P,SCHNEIDER,0,10,12,0,Stock Out
Circuit breaker 25A 1P AC,Circuit breaker 25A 1P AC,SCH-MCB-25A-1P,SCHNEIDER,0,10,3.67,0,Stock Out
Circuit breaker 40A 3P AC,Circuit breaker 40A 3P AC,SCH-MCB-40A-3P,SCHNEIDER,0,10,8,0,Stock Out
Circuit breaker 63A AC 4P,Circuit breaker 63A AC 4P,SCH-MCB-63A-4P,SCHNEIDER,0,10,11,0,Stock Out
Circuit breaker  LC13 16A AC,Circuit breaker  LC13 16A AC,CBI-LC13-16A-1P,CBI,0,10,2,0,Stock Out
Circuit breaker  LCB-1 30A AC,Circuit breaker  LCB-1 30A AC,,CBI,0,10,2.4,0,Stock Out
MCB C & S 2 Pole AC 63A AC,MCB C & S 2 Pole AC 63A AC,CS-MCB-63A-2P,C & S,0,10,5,0,Stock Out
C & S Wintrip breaker  2A 1P AC,C & S Wintrip breaker  2A 1P AC,CS-MCB-2A-1P,C & S,0,10,3.65,0,Stock Out
Circuit Wintrip breaker 80A 3P AC,Circuit Wintrip breaker 80A 3P AC,CS-MCB-80A-3P,C & S,0,10,12,0,Stock Out
Circuit Wintrip breaker 40A 3P AC,Circuit Wintrip breaker 40A 3P AC,CS-MCB-40A-3P,C & S,0,10,8,0,Stock Out
Circuit Wintrip breaker 32A 3P AC,Circuit Wintrip breaker 32A 3P AC,CS-MCB-32A-3P,C & S,0,10,6.5,0,Stock Out
Circuit wintrip breaker 20A 3P AC,Circuit wintrip breaker 20A 3P AC,CS-MCB-20A-3P,C & S,0,10,5,0,Stock Out
Circuit wintrip breaker 50A 3P AC,Circuit wintrip breaker 50A 3P AC,CS-MCB-50A-3P,C & S,0,10,9,0,Stock Out
Circuit wintrip breaker 63A 2P AC,Circuit wintrip breaker 63A 2P AC,CS-MCB-63A-2P,C & S,0,10,4,0,Stock Out
SA1-G3 30A AC,SA1-G3 30A AC,,SA1,0,10,2.5,0,Stock Out
HY-Mag 20A 1P AC,HY-Mag 20A 1P AC,,HAY,0,10,2,0,Stock Out
CBI 10A AC 1P ,CBI 10A AC 1P ,,CBI,0,10,2,0,Stock Out
Circuit  Breaker 100A,Circuit  Breaker 100A,,CBI,0,10,5,0,Stock Out
Circuit breaker 80A 1P,Circuit breaker 80A 1P,,CBI,0,10,4,0,Stock Out
Circuit breaker ABB 63A 2P AC,Circuit breaker ABB 63A 2P AC,ABB-MCB-63A-2P,ABB,0,10,14.48,0,Stock Out
Circuit breaker 100A 1P AC,Circuit breaker 100A 1P AC,HGR-CB-1P-100A-C,Hager,0,10,7,0,Stock Out
Circuit breaker 40A 2P AC,Circuit breaker 40A 2P AC,HGR-CB-1P-40A-C,Hager,0,10,7,0,Stock Out
Nur 63A 2P AC,Nur 63A 2P AC,CB-NR-63A-2P,Nur,0,10,5,0,Stock Out
Change over 63A 4P AC,Change over 63A 4P AC,HGR-COS-4P-63A,Hager,0,10,25,0,Stock Out
RK-AVS 30A,RK-AVS 30A,,,0,10,22,0,Stock Out
AVS,AVS,,,0,10,15,0,Stock Out
"Surge Protection Device, Riken","Surge Protection Device, Riken",,,0,10,14,0,Stock Out
Surge Protection Device,Surge Protection Device,WOLUN-SPD-10KA-1P,,0,10,13,0,Stock Out
L/N Surge Protector Device,L/N Surge Protector Device,SPD-LN-20KA-1P+N,,0,10,13,0,Stock Out
"Sunnom SPD 40KA, 385VDC","Sunnom SPD 40KA, 385VDC",,SUNNOM,0,10,13,0,Stock Out
IN-IOKA Imax SP 20KA,IN-IOKA Imax SP 20KA,SPD-IOKA-20KA-1P,,0,10,13,0,Stock Out
SPD CBI AC,SPD CBI AC,,,0,10,13,0,Stock Out
SPD AC 1P T2,SPD AC 1P T2,SPD-AC-1P-T2-20KA,,0,10,13,0,Stock Out
Lightning arrestor,Lightning arrestor,,,0,10,15,0,Stock Out
FS-AVP63 ,FS-AVP63 ,,,0,10,15,0,Stock Out
Indicator Riken,Indicator Riken,RIKEN-IND-230V-GREEN,RIKEN,0,10,12,0,Stock Out
Contactor LCDID32,Contactor LCDID32,,,0,10,29,0,Stock Out
"32A Noark Breaker, 2P DC","32A Noark Breaker, 2P DC",NOARK-32A-2P-DC-500V,NOARK,0,10,16.25,0,Stock Out
"63A Noark Breaker, 2P DC","63A Noark Breaker, 2P DC",NOARK-63A-2P-DC-1000V,NOARK,0,10,17,0,Stock Out
10A Wintrip breaker 1P C & S DC,10A Wintrip breaker 1P C & S DC,CS-CB-1P-10A-DC,,0,10,7,0,Stock Out
"16A Wintrip breaker 1P C & S, DC","16A Wintrip breaker 1P C & S, DC",CS-CB-1P-16A-DC,,0,10,7.73,0,Stock Out
"32A Wintrip breaker 1P C & S, DC","32A Wintrip breaker 1P C & S, DC",CS-CB-1P-32A-DC,,0,10,7.73,0,Stock Out
63A Wintrip 1P C & S DC,63A Wintrip 1P C & S DC,CS-CB-1P-32A-DC,,0,10,8.12,0,Stock Out
Suntree 100A 2P DC,Suntree 100A 2P DC,ST-CB-2P-100A-DC,SUNTREE,0,10,23.75,0,Stock Out
Suntree breaker 25A 2P DC,Suntree breaker 25A 2P DC,ST-CB-2P-25A-DC,SUNTREE,0,10,20,0,Stock Out
Circuit Breaker 32A DC 1P,Circuit Breaker 32A DC 1P,SCH-CB-1P-32A-DC,SCHNEIDER,0,10,10,0,Stock Out
32A Manhua 2P DC,32A Manhua 2P DC,MH-CB-2P-32A-DC,MANHUA,0,10,16,0,Stock Out
MNEPV 30A DC 2P,MNEPV 30A DC 2P,MN-CB-2P-30A-DC,MNEPV,0,10,14,0,Stock Out
MNEPV 15A DC 2P,MNEPV 15A DC 2P,MN-CB-2P-15A-DC,MNEPV,0,10,11,0,Stock Out
MNEPV 30A DC 1P,MNEPV 30A DC 1P,MN-CB-1P-30A-DC,MNEPV,0,10,7,0,Stock Out
MNEPV 63A DC 1P,MNEPV 63A DC 1P,MN-CB-1P-63A-DC,MNEPV,0,10,9,0,Stock Out
CBI 15A 2P DC,CBI 15A 2P DC,CBI-CB-2P-15A-DC,CBI,0,10,13,0,Stock Out
Circuit breaker 16A 2P DC,Circuit breaker 16A 2P DC,RIKEN-DC-2P-16A,,0,10,13.75,0,Stock Out
Circuit breaker 32A 2P DC,Circuit breaker 32A 2P DC,RIKEN-DC-2P-32A,,0,10,16.25,0,Stock Out
SPD,SPD,,,0,10,0,0,Stock Out
SPD  Shuang Feng,SPD  Shuang Feng,,,0,10,25,0,Stock Out
"GA & DA SPD DC G20-PV-150, 3P","GA & DA SPD DC G20-PV-150, 3P",GADA-PV-DC-150V,GA & DA,0,10,50,0,Stock Out
Suntree SPD 2P,Suntree SPD 2P,SPD-SUNTREE-DC-2P-1000V,SUNTREE,0,10,30,0,Stock Out
BATTERY DISCONNECT,BATTERY DISCONNECT,,,0,10,0,0,Stock Out
Battery Disconnect 125A,Battery Disconnect 125A,,,0,10,85,0,Stock Out
LC1E65 80A Contactorc 3P,LC1E65 80A Contactorc 3P,,SCHNEIDER,0,10,120,0,Stock Out
NB2-40 DC 40A 2P,NB2-40 DC 40A 2P,,,0,10,0,0,Stock Out
NB2-40 DC 40A 2P,NB2-40 DC 40A 2P,,,0,10,15,0,Stock Out
PHAESUM ACCESSORIES,PHAESUM ACCESSORIES,,,0,10,0,0,Stock Out
Gardena  3/4 ,Gardena  3/4 ,,,0,10,0,0,Stock Out
Gardena  Aqua Stop19mm 3/4 ,Gardena  Aqua Stop19mm 3/4 ,,,0,10,0,0,Stock Out
Gardena 19mm 3/4,Gardena 19mm 3/4,,,0,10,0,0,Stock Out
Thermostat ,Thermostat ,,,0,10,0,0,Stock Out
2 Wat Tap connector,2 Wat Tap connector,,,0,10,0,0,Stock Out
Spxflow ,Spxflow ,,,0,10,0,0,Stock Out
Direct drive pump,Direct drive pump,,,0,10,0,0,Stock Out
Pratley Steel Quickset,Pratley Steel Quickset,,,0,10,0,0,Stock Out
Electronic Donau GMBH,Electronic Donau GMBH,,,0,10,0,0,Stock Out
PV Stick Set,PV Stick Set,,,0,10,0,0,Stock Out
RJ45 Patchkabel,RJ45 Patchkabel,,,0,10,0,0,Stock Out
VE.Direct cable 1.8m,VE.Direct cable 1.8m,,,0,10,0,0,Stock Out
Solar Cooling unit Phaesum,Solar Cooling unit Phaesum,,,0,10,0,0,Stock Out
